Region,Badge Name,Description,Technical Logic (Riot Match-V5)
Zaun,Chem-Tech Overdrive,"You pumped out 2,000 damage while below 10% health. High-octane desperation.",totalDamageDealt within 5s window where player.hp / max_hp < 0.10.
Zaun,Unstable Mutation,You used 4 different abilities or items to secure 4 kills. Versatility is your only constant.,Track kill_source_id for last 4 kills. Trigger if all 4 IDs are unique.
Zaun,Toxic Work Culture,"You dealt 10,000+ total True Damage or Damage-over-time (Burn/Poison) in one match.",Final Stats: trueDamageDealtToChampions + totalDamageOverTimeDealt >= 10000.
Targon,The Star-Crossed Hero,You denied 10 killing blows on allies. You didn't just support them; you saved their souls.,damage_event (lethal) negated by player.shield or player.heal count >= 10.
Targon,Peak Performance,You reached Level 18 before anyone else in the match. The view is better from the top.,player.level == 18 timestamp is the minimum of all 10 players.
Targon,Celestial Impact,You CC'd all 5 enemies simultaneously using a single ability. A cosmic alignment.,onAbilityHit where cc_debuff_applied count >= 5 in a single timestamp.
Shurima,The Ascended Emperor,"Highest gold, damage, and level. Tell the people what you have seen today.",gold == max AND damage == max AND level == max across all 10 players.
Shurima,Architect of Ruin,"You destroyed a tower, an inhibitor, and a nexus turret in one continuous push.","building_kill events for turret, inhibitor, and nexus_turret all by player within 60s."
Shurima,The Emperor’s Tax,You took every single jungle camp (including the enemy's) in one rotation. All belongs to Shurima.,neutral_minion_kill of all 4 buff_camps (Red/Blue both sides) within a 120s window.
Shadow Isles,Death is Only the Start,You got a Triple Kill while gray-screened. Death is just a change in management.,multikill >= 3 where killer.isDead == true.
Shadow Isles,The Harrowing Mist,10+ takedowns inside the enemy base. The mist has finally claimed their home.,kill.coordinates inside enemy_base_polygon count >= 10.
Shadow Isles,Soul-Siphon Surge,You healed for 100% of your maximum HP during a single continuous fight.,totalHealOnSelf within a 15s combat window >= player.max_hp.
Ixtal,Elemental Ambush,You secured a kill within 3 seconds of leaving a bush. They never saw the leaves move.,onKill where timestamp - last_brush_exit_timestamp < 3000ms.
Ixtal,Jungle Stalker,You killed the enemy Jungler in their own jungle multiple times. Their camps are your camps now.,onKill on victim.role == JUNGLE inside enemy_jungle_coords count >= 4.
Ixtal,The Unseen Gardener,You cleared 15+ wards and secured 2 kills while remaining undetected by the enemy.,wards_killed >= 15 AND player_visible_to_enemy_count was 0 for 90% of the match.
The Void,Evolve and Consume,You shut down an enemy who had a significant gold lead. Adaptation is the key to survival.,onKill where victim.gold_at_timestamp > player.gold_at_timestamp + 2000.
The Void,Oblivion's Call,Over 30% of your damage was True Damage. Resistances are an illusion you’ve deleted.,Final stats: trueDamageDealtToChampions / totalDamageDealtToChampions >= 0.30.
The Void,The Void's Reach,You secured a kill from your own fountain while the victim was in their base.,onKill where killer_coords are in Ally_Fountain_Radius AND victim_coords in Enemy_Base_Polygon.
